Id,SalePrice
2658,138457.11030875565
2718,187546.67329256234
2414,189083.7207664032
1989,111116.46653555443
625,179845.29537053962
333,91739.64601100615
1327,99062.79869779928
858,140374.7752224104
95,199682.03636556756
1568,171314.38755778686
2482,171807.48994446796
1364,116388.83952653268
2584,163362.08084816596
818,285388.52863930335
2673,142530.93495891057
2089,110845.67563451867
1297,138503.05735606977
790,116877.10968353348
2616,192373.84265368438
720,163729.93677839494
222,130788.9721226777
557,134296.67905987334
1148,191812.14885199218
2766,183254.01476237248
534,191116.70728752113
1452,124565.8619602616
630,115816.1716249275
2648,105115.24906919748
125,146736.10629479302
1904,79000.26431840603
1670,109162.17119720449
756,90746.24706178812
717,190986.48261502554
1032,141545.83541722488
852,230426.36508056446
1731,186588.07875410738
2639,106073.9025445872
2071,102037.64064138783
1267,113553.2904306629
1851,206694.7378074455
567,167071.18691335758
2439,204632.67368335082
1898,139489.4679293926
647,139237.6397920326
2256,212085.85067009582
979,89624.16303003114
1444,204967.9044214137
2485,122300.74590917536
157,129171.3954640923
88,127480.91522776638
2003,109277.37931330687
186,174465.82676371495
1425,262768.67949416453
2695,101082.00674962316
738,108587.82977346341
395,150737.6319842238
1353,169512.09266498225
1878,131476.43459598842
390,182638.42245977875
1456,226117.5488008335
1103,317285.0840391351
1387,134143.28283486917
2070,132179.71183050948
1199,178945.92308457594
2479,171817.06355268037
501,320108.34854574275
2362,103216.52739359939
1718,194169.22259319157
2188,76408.3172937233
1483,153644.77044211965
2557,100510.64613401858
437,333821.78163369466
2224,206689.10028227512
1628,176357.07194046438
397,127763.91362382496
587,181012.66470134
2182,620994.2635923092
971,129236.69696211623
2611,151735.8317807051
1887,106282.93651323173
2399,339503.8625261033
2148,211953.32644611518
304,111237.64037925977
1997,108020.28217925708
2817,107860.62602414904
1431,199019.5582565378
427,328438.6128353643
263,131870.91511529876
598,167556.929987505
2895,250486.0653071497
687,152400.0329236138
1822,129115.57952709812
2191,95505.56847586522
179,120954.51319292533
1009,236009.6619692774
2010,122062.79185283801
1991,124970.24886203466
1411,168648.93461391283
1721,269670.75750323146
1144,175344.7793030431
593,216166.68803266142
575,260341.0916755985
1249,170410.564263576
1604,127077.7345198811
1064,487484.02197385737
1923,149135.07373708565
1988,97277.36381446938
2325,168393.75138989926
114,190634.15361021724
2700,207694.3675816786
217,141666.5647611496
343,175775.98903389974
386,236000.12365073725
2005,93994.89942176844
2908,134204.90685040233
1814,207344.45329901087
2446,513299.9961586072
208,114137.3875538143
1679,110610.18928590091
822,304779.0095493035
6,175393.14744734266
1781,359814.84199486364
2397,284583.45057820546
2340,308262.1655146886
1618,170860.2147765659
2843,118171.16068125308
1061,347062.4590887793
2786,125187.43821803288
1935,123991.27639273624
1341,110857.75948906767
521,287134.6731158524
2136,144112.15628436318
996,177595.165212788
227,138420.6041761979
135,143340.46861696287
1167,171116.83231614524
294,224176.74406765797
1776,211182.7930733294
540,182800.87513332366
1717,194198.5763110815
2303,124201.82001600432
116,160983.74106418635
127,124666.77334444286
1371,106960.42710145387
1014,171761.47707390902
1507,94557.20348741952
702,137303.4828461941
750,142873.37485687668
261,147090.1224579611
1559,79096.2706769991
577,211693.92367256447
2812,204025.38440794134
2080,139542.45956522785
1368,113590.87456578773
2376,124668.15061782037
659,99021.61431876043
1235,126941.53543863553
332,86275.72149317658
1917,145261.86068226147
2094,230975.1142309564
1460,269804.5275371708
1471,189603.61536512137
1509,112602.13823204431
1922,125566.27891388531
433,481738.97431885515
460,290390.2578305045
1116,259285.0740301843
1137,163570.38144375524
53,180182.95298706606
2354,229194.76323633004
1475,211064.35485326604
1761,617851.6509458794
842,142283.1956941129
2739,159916.81863110064
2509,184463.26400115388
1007,197840.50215316153
2610,171292.23121735288
1952,96719.28227250767
2719,186565.3877162165
2921,92679.58435148871
1966,133511.93020294778
292,117963.6831274169
1204,194018.2607096031
1829,215122.67200608505
2419,191461.7022134882
391,164602.87071765136
798,121390.54315960675
481,191433.99763926608
193,167582.64369112687
555,133571.94966728345
899,83605.99402407961
2357,209810.29851849723
328,111053.98627236532
1356,121056.85455750041
1154,121854.30708103273
1730,172879.8924792336
2249,161729.25627525238
1119,248827.398318894
2856,129858.57783629974
1394,128802.44115195281
2587,121820.76571973358
61,364114.9231568832
2661,179766.25898321098
2711,139086.53905203287
1147,174253.8935944932
757,114864.36136407168
2623,102656.53729268318
2378,140530.62608173836
1413,131460.28912169032
1722,255186.9308353068
1112,197554.82395695825
1623,179939.38998984252
1201,175393.3465924952
1513,101483.47094455661
957,241081.1645685801
1171,269522.7562060893
1145,195266.42309645313
2726,251011.33194568584
703,136118.36328667143
760,82963.52342948517
1964,125920.16693570904
2512,187757.07280148964
159,133461.7868548374
1281,161383.38465301678
468,170618.29604492054
290,139101.60242269078
665,104462.94132508204
1463,251601.46870990365
1792,225832.16044671062
923,166540.87329361113
500,266961.7051613144
1408,124186.72426439884
331,82295.55200269418
170,98404.35873549573
2192,96508.6435538129
2571,254232.75347924934
2314,168240.6854946681
2647,102905.53949924745
422,402765.68331667804
2457,297890.598887093
1838,210932.70918808953
2805,241407.47462033632
1645,171527.20116959274
1711,304394.61102552805
2825,215622.85456337186
322,334008.9523979699
2103,267142.2118666472
342,133035.74386222672
600,127674.34213058845
488,183441.13476855156
1725,328448.7473131372
2246,303642.31400034035
2847,139121.8515479863
806,238998.12124995058
530,216371.31961175392
963,184248.61888880454
2678,92691.06923576769
171,85594.02359618641
2401,388762.9271758509
805,206462.31297095967
2259,189328.76394126975
1748,177289.49976886078
1361,119288.00853568666
1677,112637.37896428772
1406,156418.79777136148
2322,212187.31332342006
688,161507.88360043056
143,134669.5275762684
804,193143.4291741317
1214,160955.3993044269
2828,139746.53471106806
1999,163800.9526765785
2467,195715.42901817878
2665,146387.1899250076
1538,323138.207655673
398,115210.10060325815
2822,131234.74660521717
2157,153844.2209574578
1856,158074.42525162283
1269,113998.45865795526
2570,125017.51727162724
2320,244165.45316306772
1517,132822.96968832437
2304,124468.20107894111
1312,93193.23403872253
2012,138821.0234545323
506,227714.43732815917
2865,208898.5242302153
2367,105986.12132983076
554,131683.86035074358
238,118980.20603034459
1954,121490.9063621028
2488,151446.1448402041
2291,92955.32778593578
1969,107246.23231064397
2725,145968.5592207989
1482,153644.77044211965
2763,197905.5375092994
503,238463.56564044568
1584,240246.86798179458
1531,179596.11646473932
2210,202157.70553484827
459,330260.31420722377
556,135982.71351700916
1347,136099.14000397772
1290,98581.33873436859
1388,119385.09713857446
1571,171472.51112843896
2754,204183.7752490483
765,127834.878716274
2494,128506.25015262258
2870,201836.15645888512
7,242738.2239935082
1114,230743.81996577728
2418,267730.15356119175
291,118438.83291736101
18,325240.8402854184
39,355115.76930212043
1001,257575.46773641725
2442,218354.11203762985
616,117746.42452638286
2680,86717.39994410423
1414,111201.45428942832
289,128191.67189788299
40,282748.73690261616
860,132891.50679705752
409,132527.18212484632
673,128835.28862839409
2427,178651.60874062803
2036,154164.21089874042
2564,131852.58689842193
642,173549.3919310599
1008,174952.36316109
1908,151615.21603512272
2519,194953.82357467807
1369,88883.20620202721
2855,188780.63657142836
712,96867.02914125129
1943,94280.86369717034
1958,142415.51972353493
107,167818.13824107766
2295,156745.37583920814
704,100864.32378194468
676,124325.8842451788
259,177378.72410082776
93,296723.7568580275
106,233464.32814961163
2315,180302.5605771011
1050,121238.88808738842
1095,192339.94973862066
2709,139172.23251862044
758,144146.41775628293
1496,141350.5799715167
2370,112749.50404844899
2458,250441.53223840587
2733,114385.57704224806
161,216682.2357570297
726,134308.36467237718
845,208209.54203460374
947,257007.98252078448
2232,96882.35361439313
2563,143111.23501276466
2299,131702.24963267826
211,133937.30002151235
605,175133.98419925015
1478,222463.626539494
2247,303672.91550744517
2274,199232.6210290448
2869,193974.63210798963
967,217118.9287573118
2656,94885.09989950206
667,210239.73053794715
1042,105299.81045160274
2023,147075.19558773658
2447,378808.70363386656
2055,136814.7863064453
2275,276882.9105944069
2204,187267.18139459775
1563,306198.49677640316
483,224829.39681885016
796,127093.28456904487
1526,171283.77473891675
2042,144707.82995411567
442,337957.56214000285
1693,307545.4185895671
1468,208895.89171665657
1430,201434.8542803885
2605,136526.3287478329
1529,210279.1506200546
335,133540.69809822887
1287,117738.36115982106
