Id,SalePrice
2658,-1236343029550.68
2718,-1240176299252.9187
2414,-723677966322.7793
1989,-1236240401928.801
625,-733153148888.154
333,-1265082542156.7827
1327,-1236540643830.5088
858,-1243070519807.1133
95,-730590434389.6733
1568,-1253027044177.3823
2482,-728170194934.0946
1364,-1237956844033.7627
2584,-733422709415.5148
818,-1241697720221.9385
2673,-1237573372497.705
2089,-1240722132527.1194
1297,-1236100469193.773
790,-1240675109581.7651
2616,-733572349737.5919
720,-1236338127198.409
222,-1240208351181.0952
557,-729404487683.8866
1148,-728151564798.6946
2766,-1242006960174.7505
534,-728036226794.4156
1452,-1243126754355.4954
630,-733203377852.9011
2648,-1236110947357.2966
125,-732236447373.3379
1904,-732340399757.9305
1670,-722631698851.1868
756,-1237961348339.062
717,-1236339735246.4937
1032,-722563795885.4503
852,-1243043001214.2798
1731,-723706483617.0155
2639,-1236095635180.1682
2071,-1240384495927.139
1267,-733659672041.2625
1851,-730618874607.3433
567,-730604033720.8717
2439,-723789850673.1107
1898,-732241619581.9618
647,-733482755765.7013
2256,-1255447888383.3625
979,-1265081764692.538
1444,-1243035450811.8464
2485,-728209452366.4304
157,-733528738041.8427
88,-729437025409.8384
2003,-1236529496344.0105
186,-1236376883757.5007
1425,-1241929323899.3567
2695,-1237950855417.7207
738,-1237652079098.4512
395,-722621145761.3073
1353,-1237850291573.211
1878,-731989862489.2191
390,-722558478250.357
1456,-1243111963442.5596
1103,-723844294521.1285
1387,-1240298474498.4753
2070,-1240340425893.1172
1199,-731959480698.9548
2479,-728159996452.9404
501,-723886584976.1925
2362,-722626633359.0164
1718,-723683803985.0219
2188,-1244516462726.609
1483,-1243409812880.7356
2557,-732306637480.9823
437,-723465771741.3567
2224,-1246015912364.5525
1628,-722278791988.1359
397,-722619659119.452
587,-731761105530.8143
2182,-1244079352604.2434
971,-1264926268543.8108
2611,-733568141159.6538
1887,-732065843745.3562
2399,-723569288452.1154
2148,-1243146181652.812
304,-1247191376942.836
1997,-1236392049932.4944
2817,-1244308828707.905
1431,-1242047872178.616
427,-723525725465.3302
263,-1243089846110.458
598,-731944382809.5177
2895,-1255518096781.1091
687,-733646374624.0806
1822,-729408237549.8132
2191,-1244532211399.4102
179,-1236243866607.4048
1009,-722328020969.4507
2010,-1237641481345.0413
1991,-1236344486892.107
1411,-1240652347509.288
1721,-723692269319.76
1144,-728059352050.8899
593,-731885175352.755
575,-730566833734.0344
1249,-733410579000.2856
1604,-1265115059607.1887
1064,-723567421405.2946
1923,-733241558123.1013
1988,-1236269018230.2312
2325,-722284187447.6655
114,-731783185144.6991
2700,-1238788495167.72
217,-1240160931183.7644
343,-721149416275.82
386,-722555966548.1562
2005,-1236521805484.5574
2908,-1264963028510.006
1814,-728005891190.7848
2446,-723640074257.3829
208,-1237966839109.6147
1679,-722721990441.3463
822,-1241851275326.6956
6,-722185942952.7786
1781,-723958283397.3237
2397,-723597997136.3645
2340,-722382634586.5743
1618,-722181718674.5948
2843,-1245672016698.6306
1061,-723532400312.9408
2786,-1243081342650.2117
1935,-733445066776.597
1341,-1237656104463.8381
521,-724025261467.8286
2136,-1243075291615.7612
996,-722189737995.7113
227,-1240186343074.833
135,-733156391275.2662
1167,-730603414630.9894
294,-1245887090153.999
1776,-724006150827.0809
540,-728036575690.6444
1717,-723685567933.6517
2303,-1265094516351.5374
116,-731877824946.951
127,-732244388256.0424
1371,-1237971677725.3845
1014,-722246023419.3469
1507,-1244529403597.0144
702,-1236087761690.782
750,-1237893995450.4834
261,-1243062353960.6428
1559,-1248604775507.245
577,-730577534284.361
2812,-1243336788029.5967
2080,-1240654093350.81
1368,-1237992775030.069
2376,-722691914401.7334
659,-733558121398.668
1235,-733235711001.4011
332,-1265086309654.5146
1917,-733233949411.1288
2094,-1241657161361.6838
1460,-1243117026714.9517
1471,-1243158592366.8208
1509,-1244531597649.2627
1922,-733236638185.0067
433,-723482425487.0314
460,-723684575601.4358
1116,-724001937985.058
1137,-728024951769.8036
53,-723779468569.8818
2354,-722524927800.5569
1475,-1243349908566.3276
1761,-723719348194.3016
842,-1242986776021.0442
2739,-1240606351532.325
2509,-730615291822.07
1007,-722268323740.4646
2610,-733554768396.5043
1952,-733587879883.6731
2719,-1240179613368.4102
2921,-1265082907134.4407
1966,-733644452101.7925
292,-1245870365161.1208
1204,-731973746995.4366
1829,-729494569254.1697
2419,-723732882284.7932
391,-722568889382.6266
798,-1240717966360.7886
481,-723765253494.2013
193,-1237581655209.4668
555,-729400465673.7385
899,-1244519661215.1943
2357,-722559717028.592
328,-1265068874134.5906
1356,-1237903584661.8408
1154,-729458092800.7087
1730,-723721448258.1754
2249,-1253018950932.1482
1119,-724000337545.5458
2856,-1245873413186.785
1394,-1240335345411.0657
2587,-733482317701.8037
61,-723818373736.7512
2661,-1236384938046.408
2711,-1240200276717.4194
1147,-728144319439.8195
757,-1237986649141.7383
2623,-733667491461.4397
2378,-722720160265.2218
1413,-1240675684654.6724
1722,-723689136718.4673
1112,-723969571040.8512
1623,-722265089759.3124
1201,-731978021080.3552
1513,-1245696755051.3745
957,-1254192760056.1423
1171,-730582374818.3772
1145,-728149197918.6547
2726,-1240241658381.132
703,-1236129608843.233
760,-1238001535044.1584
1964,-733655088103.4618
2512,-730612253683.8683
159,-733550416038.1813
1281,-733671489271.9181
468,-723714875448.1565
290,-1245795248508.8586
665,-733552644969.9535
1463,-1243113164126.9373
1792,-724020475446.5808
923,-1245876316520.477
500,-723879004654.0671
1408,-1240563268293.7297
331,-1265094571101.5576
170,-1236099069656.02
2192,-1244559250526.9856
2571,-733079364112.7144
2314,-722177129513.5966
2647,-1236130776849.4077
422,-723483281112.9988
2457,-723902155875.2019
1838,-730591224267.2178
2805,-1243140436755.7717
1645,-722459093840.2423
1711,-723615958804.4468
2825,-1244373375049.0295
322,-1262105941616.4648
2103,-1241923236257.062
342,-721088214711.0922
600,-732043358966.1576
488,-723821946567.9664
1725,-723671320552.5325
2246,-1248774783070.3657
2847,-1245771945475.6406
806,-1241702860484.0464
530,-724070043564.2338
963,-1255651230013.7585
2678,-1237652374986.2197
171,-1236098862762.878
2401,-723543026890.2976
805,-1241702936597.0354
2259,-1255494630971.437
1748,-723743486354.2701
1361,-1237923159432.683
1677,-722720440689.6262
1406,-1240598757014.2886
2322,-722114209633.1932
688,-733672692477.3915
143,-733224852375.7275
804,-1241715192173.649
1214,-732195972788.116
2828,-1244454934029.634
1999,-1236373341221.406
2467,-724088410910.7893
2665,-1236397753400.3928
1538,-1245838960669.663
398,-722630495055.1194
2822,-1244295256133.24
2157,-1243225294757.4714
1856,-730574007432.8108
1269,-733667296342.2908
2570,-733227974340.367
2320,-722187278093.4088
1517,-1245697820544.9668
2304,-1265269562442.9949
1312,-1236370922630.5544
2012,-1237645468874.3525
506,-723831109943.1571
